,nickname,contents,datetime
93,준후 집(nang****),재미없다는 글때메 망설였는데 왠걸..  ,2017-05-17 04:19:00
94,kimg****,관람객미국에서 신선한 작품이라고 극찬받았던 이면의 현실이 더 놀랍다  ,2017-05-21 15:14:00
95,jinm****,어찌보면 줄거리도 촬영 장소도 단순하다.그런데 그건 영화끝나고 집에 와서야 알았다. 도입부터 시작되는 기괴한 음악이며 소품과 대사의 복선이며 연기며... 쉴새없이 관객을 긴장시켰고 기묘하고 기괴한 집에서 방황하게 만들었다 100분을 이런식으로 삼키다니  ,2017-05-18 15:23:00
96,임예원(9472****),돈이 아깝지 않았던 영화에요 근데 메인 예고편 무슨 생각으로 저렇게 만드셨는지...ㅠㅠ 예전부터 예고편에서 스포를 다 당해서 안보는습관은 생겼지만 영화 다 보고 나서 예고편을 혹시나하고 봤는데 또 역시나였네요 ㅋㅋ  ,2017-05-17 22:16:00
97,김성준(k214****),나보다 오히려 스토리 1도 몰랐던 내 친구는 계속 대박이라며 ㅋㅋ  ,2017-05-18 13:52:00
98,개굴여신(30ly****),절대 다운받아서 안본다.. 이잼있는걸  ,2017-05-17 11:45:00
99,한여사님(hans****),주인공이 경력이 오래된 베터랑배우였다 ㄷㄷ 핵잼  ,2017-05-18 00:03:00
100,자라(jara****),관람객또라이 여친 만나서 장기매매 당할뻔한 흑인의 추억  ,2017-05-21 20:04:00
101,꿀곰(sung****),"우리나라 관객들은 예고편을 보고 ""봐야겠다!""하고 봐서 그런가 영화에 '더' 기대했던 무언가가 들어있지 않다고 느껴졌다. 예고편이 절반 이상을 차지한 영화. 그럼에도 불구하고 감독이 던진 떡밥과 연출력은 곱씹을 수 있는 맛이 있었다.  ",2017-05-18 03:28:00
102,천사(dsko****),"첫 씬부터 도처에 모든걸 암시하는 장치들, 와 진짜 천재다  ",2017-05-18 19:02:00
103,영감(9731****),예고편조차 보지 않은 나는 정말정말 신선했고 소름끼쳤다.  ,2017-05-18 13:52:00
104,Sophie(d22p****),이제 흑형이라는 표현도 인종차별적 표현이 될 수 있다는 것을 이 '사이코'스러운 영화로 느낄 수 있었다. 과한 우러러봄도 차별적 요소라는 것.  ,2017-06-03 23:06:00
105,하하하(port****),여자의 마음을 잡는거 처럼 이영화도 스포로 다 알고 봐도 깊이는 보지않고는 모르는법  ,2017-05-17 02:46:00
106,최대웅(cjst****),이 영화를 욕하는 사람들은 이 영화를 보지 않은 사람들이다  ,2017-05-21 00:40:00
107,띵코(firi****),수많은 복선들이 놀랍고 솔직히 우린 인종차별을 몸소 느끼지못했지만 인종차별을 몸소 느꼈던 외국사회에서는 정말 왜 소름돋는지 이해되는 영화다  ,2017-05-21 08:51:00
108,syh3****,관람객할아버지 잡아오세요!!  ,2017-05-19 12:40:00
109,토종다크템플러(codi****),"이건 두번 봐야 할 듯, 곱씹으면서 다시 봐야지  ",2017-05-18 19:11:00
110,라니(nale****),극장에서 흥분하고 볼수 있다는게 완죤 기대~  ,2017-05-17 02:54:00
111,Troima(laik****),흑형 금연 성공했네 ㅋㅋㅋ  ,2017-05-20 00:13:00
112,허호호호호(zzzz****),개꿀잼 흑인여자 눈은 슬퍼보이는데 입은 웃고있는거 개소름돋음  ,2017-05-19 02:11:00
113,티모씨(tais****),요즘 본 영화 중 젤 재밌었음  ,2017-05-19 00:00:00
114,파파닥(atdm****),재밌음 잼ㅆ음 재밌음1ㅡ  ,2017-05-17 02:49:00
115,moon****,관람객재밌어용 ㅎ 팝콘도 다 못먹을 만큼 집중함  ,2017-05-18 23:25:00
116,z히힛z(qkdn****),관람객피곤했는데도 엄청 집중할 정도로 몰입감이랑 긴장감은 뛰어났고 크리스의 복수도 통쾌하기는했지만 뭔가 부족한 느낌??? 끝을 덜낸 느낌?? 이라서 약간 아쉬웠습니다 강아지 키우고싶네요  ,2017-05-17 23:05:00
117,짹짹짹짹(hope****),관람객전개에 비해 결말이 비교적 단순하지만 찝찝하게 끝나지 않아 오히려 다행  ,2017-05-18 23:13:00
118,체르노보그(wntj****),개쩐다..꼭 보세요 졸잼이에요 사슴이 쵝오  ,2017-05-17 00:58:00
119,다비드루이스(ljjf****),여자가 사진 보관잘못했다고 무슨보관을 그렇게 하냐고 하는사람있는데 그것도 설계임 현실을 받아들이게해서 수술잘되게할려고 아니면 그냥 최면부터걸어버리고 비로 수술들어갔지 일부러 확인시키게한거임  ,2017-05-25 02:35:00
120,이유미(yumi****),관람객주인공이 2층 올라갔을때 다들 조용해 져서  소름...  ,2017-05-22 11:03:00
121,SeanBenson(yung****),다른 시각에서의 인종차별을 제대로 꼬집은 영화 아직도 모든 흑인들은 신체적으로 우월하고 정신적인면에서는 백인들에 비해 못하다는 인식은 은연중에 널리 퍼져있다는걸 잘 보여준 작품  ,2017-05-19 14:50:00
122,suri****,여친 가방 뒤적거리면서 열쇠 못찾는척 할때 욕나와 죽는줄  ,2017-06-11 02:29:00
123,섭지(sub8****),단순 흑인인종차별인줄 알았는데.. 그런게 아니었네요  ,2017-05-18 13:41:00
124,soat****,관람객영화에서 쓰인 배경음악과 음향효과 등 사운드적요소들이영화에 더 몰입하게 해줬고 각 배우들의 연기력도 훌륭했고 결말부분이 좀 순식간에 진행되는 느낌이 들긴하지만 반전적인 요소가 재미를 더해주었다  ,2017-05-20 09:21:00
125,re75****,신선한 영화였어요. 막 귀신나오거나 호러는 아닌데 긴장감과 반전이 정말..대단..ㅎㅎ  ,2017-05-19 04:15:00
126,gree****,"관람 후 여친이랑 여친집에가는 차안 대사 소름.. 주인공 흑형친구가 전화상으로 ""남친 잘못고른거 알지?(장난)""흑형 남친 옆에 두고 여친 왈  ""이 모든건 당신에게 가까워지려는 수작이었어""  ",2017-05-19 21:11:00
127,카라(nevz****),모든장면에 복선이 천재다 진심. 초반에 빵고르는 로즈랑 면도하는 크리스 번갈아 보여준게..  ,2017-05-26 03:19:00
128,코코소희(skcj****),곱씹을수록 더 소름끼치는 영화진짜 이런게 스릴러지..  ,2017-05-22 17:10:00
129,Bonnie(jyj9****),저는 스포를 당하고 영화를 봤는데도 괜찮았어요. 스토리 자체가 참 기괴하고 공포스럽고 신선해요. 보고난 후 한장면씩 회상하며 풀이하는 재미가 있네요ㅋㅋ  ,2017-05-18 03:19:00
130,lapu****,방금 보고 왔는데 말이필요없음요~ 필관람 닥추!!!!  ,2017-05-17 13:13:00
131,선빵날려(exit****),아오...이건 진짜 꼭한번보세요!! 이제까지와는 완전히다른 딴세상영화를 본것같은 재미와 여운..죽입니다!!  ,2017-05-17 12:13:00
132,grace216(sunn****),관람객오랜만에 볼만한 소재였어요 어느 분의 말처럼 예고편을 보면 영화전체를 다 알수있게끔 너무 잘 만드셧다는게 흠이면 흠 .. 마지막은 나름 더도말고 덜도말고 마무리된듯..  ,2017-05-19 21:45:00
133,0su2****,오랜만에 신선한 소재의 영화  ,2017-05-17 01:16:00
134,제비꼬리(tkdd****),여자친구네 흑인 하인들이 왜그랫는지 이제 이해가된다.. 연출대단하다 정말  ,2017-05-29 22:56:00
135,박오이(hoon****),여러분 이래서 담배를 피면 안됩니다  ,2017-05-21 22:35:00
136,uzhee(free****),남편과 영후 본 이후로 제가 말할때마다 남편이 자꾸 커피잔을 저어요..묘학게 기분나빠요...  ,2017-05-21 17:33:00
137,tkpt****,말 그대로 신선한 영화 간만에 생각과 추리하게 되는 영화 잘 봤습니다 ^^  ,2017-05-17 02:57:00
138,나는나(jeon****),관람객정말끝까지 보면 잼있어요.^^  ,2017-05-18 00:17:00
139,밍구(minj****),진짜 무서워죽는줄 알았어요 컨저링같이 귀신나오는거나 파이널데스티네이션같이 잔인한건 꽤 잘보는편인데 이건 진짜 무서웠어요 역시 사람이 젤 무섭네요....  ,2017-05-24 22:48:00
140,영화광(line****),차 마실땐 종이컵으로...  ,2017-05-19 01:02:00
141,안땡수(hsan****),"영화보면서 소름 한 10번, 놀라는거 한 3번? ㅋㅋ  ",2017-05-18 13:44:00
142,최승석(8519****),깔끕하다.. 웃기고 무섭고 끝까지 예측불허  ,2017-05-17 12:51:00
143,밤(loki****),신선한 영화였슴 흑인여자 무서웠따  ,2017-05-21 11:30:00
144,진(sudi****),좀 괴기스럽고 독특한영화를좋아하는데 내가딱좋아하는스타일영화스텝포트와이프+한국의 더게임을 합쳐논듯한 군더더기없이깔끔한영화  ,2017-05-18 03:47:00
145,톰과제리(jhmi****),이 영화의 최대반전은 주인공이 스물여섯살이라는것  ,2017-05-20 01:45:00
